Name,Area,Lon,Lat,PET_FAO_R2,PET_FAO_p_value,PET_FAO_par_P,PET_FAO_par_Ep,PET_FAO_par_CO2,PET_FAO_CO2_contribution,PET_FAO_P_contribution,PET_FAO_Ep_contribution,PET_FAO_Q_change,PET_FAO_obs,PET_FAO_YANG_R2,PET_FAO_YANG_p_value,PET_FAO_YANG_par_P,PET_FAO_YANG_par_Ep,PET_FAO_YANG_par_CO2,PET_FAO_YANG_CO2_contribution,PET_FAO_YANG_P_contribution,PET_FAO_YANG_Ep_contribution,PET_FAO_YANG_Q_change,PET_FAO_YANG_obs,PET_PT_R2,PET_PT_p_value,PET_PT_par_P,PET_PT_par_Ep,PET_PT_par_CO2,PET_PT_CO2_contribution,PET_PT_P_contribution,PET_PT_Ep_contribution,PET_PT_Q_change,PET_PT_obs,PET_HargreavesSamani_R2,PET_HargreavesSamani_p_value,PET_HargreavesSamani_par_P,PET_HargreavesSamani_par_Ep,PET_HargreavesSamani_par_CO2,PET_HargreavesSamani_CO2_contribution,PET_HargreavesSamani_P_contribution,PET_HargreavesSamani_Ep_contribution,PET_HargreavesSamani_Q_change,PET_HargreavesSamani_obs
ADHI_1160115,690.0103402,19.5958,-34.4053,0.65906206,1.73E-06,0.814699302,0.077150683,-0.008281167,-0.000625752,-0.061561347,0.005829758,-0.075563275,42.7865974,0.658878874,1.74E-06,0.814971881,0.076004572,-0.008077759,-0.000610382,-0.061581944,0.005743154,-0.075563275,42.7865974,0.656968081,1.87E-06,0.817953733,0.061589247,-0.014448182,-0.001091752,-0.061807263,0.004653885,-0.075563275,42.7865974,0.660290677,1.65E-06,0.78584519,-0.09090696,0.009650014,0.000729187,-0.059381036,-0.006869228,-0.075563275,42.7865974
ADHI_1160385,34.1952874,22.9739,-33.5453,0.503729813,0.000243658,0.297035066,-0.508054005,0.121849095,0.005428437,0.013233057,-0.022634054,0.044550487,39.77258971,0.504782997,0.000236986,0.298477669,-0.507491868,0.118272873,0.005269114,0.013297326,-0.02260901,0.044550487,39.77258971,0.344463371,0.008875897,0.645178827,0.089924111,0.035872985,0.001598159,0.028743031,0.004006163,0.044550487,39.77258971,0.343530342,0.009037791,0.550644371,-0.068858989,0.039850849,0.001775375,0.024531475,-0.003067702,0.044550487,39.77258971
ADHI_1160395,32.99562156,22.1792,-33.3681,0.539686703,9.10E-05,0.228099244,-0.575833014,0.04786962,0.001827574,0.008708409,-0.021984243,0.038178156,222.6766954,0.543514102,8.15E-05,0.227854528,-0.578968206,0.046535948,0.001776657,0.008699066,-0.022103939,0.038178156,222.6766954,0.36306215,0.00615152,0.508577483,-0.116644878,-0.042216669,-0.001611755,0.019416551,-0.004453286,0.038178156,222.6766954,0.357624008,0.00685627,0.619870584,0.049770137,-0.024380072,-0.000930786,0.023665516,0.001900132,0.038178156,222.6766954
ADHI_1160398,39.22274412,21.9603,-33.4608,0.339421622,0.004527057,0.140133542,-0.449256517,-0.075592157,-0.01416357,-0.026256576,-0.084176406,0.187368246,42.95147573,0.341703448,0.004302838,0.136443824,-0.454211482,-0.076208086,-0.014278975,-0.02556524,-0.085104809,0.187368246,42.95147573,0.332098481,0.005321438,0.165344395,-0.401343544,-0.1977606,-0.037054057,-0.030980289,-0.075199036,0.187368246,42.95147573,0.386550214,0.001519418,0.169129476,-0.46629787,-0.145443315,-0.027251459,-0.031689493,-0.087369414,0.187368246,42.95147573
ADHI_1160525,656.6876598,25.5206,-32.3856,0.552520063,9.08E-06,0.519745368,-0.215357914,-0.173789778,-0.03737591,0.111778475,-0.046315717,0.215063917,18.16074744,0.552362184,9.13E-06,0.520885127,-0.213923793,-0.174769913,-0.037586702,0.112023596,-0.046007289,0.215063917,18.16074744,0.598452745,1.66E-06,0.91477651,0.348584367,-0.211713608,-0.045531958,0.19673542,0.07496792,0.215063917,18.16074744,0.534171799,1.70E-05,0.709876141,0.044912577,-0.209951136,-0.045152914,0.152668744,0.009659075,0.215063917,18.16074744
ADHI_1160545,658.3751018,26.7442,-33.5067,0.372111819,0.005123498,0.522848426,-0.062728127,-0.129671213,-0.016813292,-0.067793023,-0.008133388,-0.129660948,28.64096032,0.371977469,0.005137538,0.523582628,-0.061171308,-0.130032277,-0.016860108,-0.06788822,-0.00793153,-0.129660948,28.64096032,0.410546197,0.002276613,0.663403035,0.227146011,-0.102651032,-0.01330983,-0.086017466,0.029451967,-0.129660948,28.64096032,0.369413439,0.005412302,0.554464549,-0.006664876,-0.13031617,-0.016896918,-0.071892399,-0.000864174,-0.129660948,28.64096032
ADHI_1160690,1480.151927,26.7897,-32.0503,0.618443582,4.82E-06,0.118489844,-0.661280635,-0.332749261,-0.093334745,-0.033235895,-0.18548639,0.280495723,10.39083148,0.618446125,4.82E-06,0.117478774,-0.662556285,-0.336289071,-0.094327646,-0.032952294,-0.185844205,0.280495723,10.39083148,0.462779493,0.000510104,0.570240471,-0.096295005,-0.328097432,-0.092029927,-0.159950014,-0.027010337,0.280495723,10.39083148,0.488699938,0.000261405,0.365254671,-0.325590712,-0.295967532,-0.083017627,-0.102452373,-0.091326802,0.280495723,10.39083148
ADHI_1160705,114.4741259,30.2442,-29.8622,0.430788563,0.001449929,0.580063374,-0.091692282,-0.136710679,-0.185452623,-0.786875432,-0.124383657,-1.356533558,84.41021637,0.430897046,0.001446359,0.579781376,-0.092391544,-0.13687831,-0.185680021,-0.786492893,-0.12533223,-1.356533558,84.41021637,0.437814727,0.001234646,0.568403358,-0.128344683,-0.136745829,-0.185500306,-0.77105823,-0.174103869,-1.356533558,84.41021637,0.44800682,0.000974041,0.702686611,0.176204395,-0.128371653,-0.174140456,-0.953217968,0.239027175,-1.356533558,84.41021637
ADHI_1160785,1017.964843,29.4222,-30.5683,0.360487476,0.006476518,0.390266418,-0.285606457,-0.086753215,-0.071431122,-0.321338728,-0.235163498,-0.823382986,91.89420451,0.361434395,0.006355216,0.389241375,-0.287564542,-0.087441821,-0.071998108,-0.320494726,-0.236775751,-0.823382986,91.89420451,0.37656448,0.004677494,0.406955003,-0.298240917,-0.113976676,-0.093846456,-0.335079826,-0.245566497,-0.823382986,91.89420451,0.345392818,0.008717249,0.370145209,-0.267231162,-0.094469695,-0.077784739,-0.304771267,-0.220033592,-0.823382986,91.89420451
ADHI_1160820,140.5490214,29.8406,-27.8497,0.61791753,7.82E-06,0.368724321,-0.466674816,0.201509313,0.20115444,-0.36807497,-0.465852967,0.998238925,241.424521,0.61766195,7.89E-06,0.368627099,-0.466515295,0.199476962,0.199125668,-0.367977919,-0.465693727,0.998238925,241.424521,0.618229378,7.73E-06,0.476695095,-0.423406902,0.098964204,0.098789921,-0.475855599,-0.422661251,0.998238925,241.424521,0.654322919,2.08E-06,0.212657316,-0.609115864,0.169577232,0.169278594,-0.212282811,-0.608043165,0.998238925,241.424521
